OBJECTID_1,OBJECTID,Fire_Name,Fire_Year,Cause,Acres,Perimeter,Shape_Leng,Complex,Fire_Num,Label,Agency,TOT_ACRES_,Shape_Le_1,Shape_STArea_1,Shape_STLength_1,time_,comments,unit_id,fire,inc_num,Shape__Area,Shape__Length
180,0,79,2014, ,79.3941724273217,0,0, , , , ,79.30013838,0.04909232,320916.16784668,4170.14663296,,,,,,321295.815124512,4172.46533794799
181,0,Blakeslee,2014, ,1032.79459813854,0,0, , , , ,1031.53961757,0.13769165,4174492.74412537,11735.11084689,,,,,,4179557.42243958,11741.7654759812
182,0,Colson,2014, ,111.567941026923,0,0, , , , ,111.44908875,0.03999297,451018.4598236,3404.78781844,,,,,,451498.023635864,3406.50726860069
183,0,Colt Lake,2014, ,9.66617530646338,0,0, , , , ,9.67913413,0.01709412,39071.29882812,1539.29241815,,,,,,39117.5032577515,1540.21299284579
184,0,Lanningan,2014, ,73.7081119264037,0,0, , , , ,73.61869294,0.03998808,297923.17149353,3495.9229681,,,,,,298285.216957092,3497.98282555613
185,0,Log Gulch,2014, ,212.926796326497,0,0, , ,Not Set, ,212.66769334,0.06918608,860635.62234497,6233.52861811,,,,,,861681.488433838,6237.34961352904
186,0,Lost Horse,2014, ,58.8542439333961,0,0, , , , ,52.21712754,4148.81920865,237939.77103805,4148.81903072,,,,,,238173.903400421,4150.84980689068
187,0,Lost Mine Loop,2014, ,152.619178052647,0,0, , , , ,144.54885694,3508.34193705,616885.47569274,3508.34185538,,,,,,617625.994041443,3510.52431287727
188,0,Olin,2014, ,1331.32623991145,0,0, , , , ,1329.75224302,0.13069024,5381316.44464111,11504.28842315,,,,,,5387668.5499115,11510.9674634019
189,0,PK,2014, ,814.540610308884,0,0, , , , ,813.57003188,0.07829639,3292401.08666992,7217.09450822,,,,,,3296318.59802246,7221.56233909403
190,0,Seepay,2014, ,1059.99624825758,0,0, , , , ,915.87367273,18344.4100484,4284523.65418243,18344.40878841,,,,,,4289639.21583557,18355.5813842045
191,0,Thompson River Complex,2014, ,1652.2620197784,0,0, , ,Kookoosint, ,462.19062518,40436.651322,6679196.3244133,40436.64978425,,,,,,6686446.2720108,40458.2427370886
192,0,West Alder,2014, ,81.7505926033153,0,0, , , , ,81.65827628,0.03168394,330459.32756042,2787.44556566,,,,,,330831.870140076,2788.97637644119
193,0,Airheart-Rosebud,2014, ,2.65049950977777,0,0, ,LG29-226, ,CTY,2.64782463,0.00438558,10715.36808776,407.83385405,,,,,,10726.1575164795,408.042155723646
194,0,Anchor,2014, ,1.04999952768008,0,0, ,MCD-037, ,BLM,1.04955443,0.0027562,4247.39781188,254.88199242,,,,,,4249.18452453613,254.931140441533
195,0,Bailey,2014, ,6.61512122727831,0,0, ,MCD-145, ,BLM,6.61030974,0.00857264,26750.9773941,755.1096948,,,,,,26770.3014678955,755.393994616924
196,0,BeeGee,2014, ,0.155681035390102,0,0, ,MCD-212, ,BLM,0.15555185,0.00109428,629.49578857,101.73904366,,,,,,630.017044067383,101.780574050579
197,0,BellRoad-Wibaux,2014, ,106.515723322751,0,0, ,LG52-259, ,CTY,106.38680942,0.03329384,430532.13357543,2839.11556085,,,,,,431052.678375244,2840.7253762499
198,0,Benzien,2014, ,2.5500941559853,0,0, ,MCD-025, ,BLM,2.54703274,0.00539398,10307.47662353,475.56099896,,,,,,10319.8332366943,475.84163975302
